"Taters"            ,45.9,50.5
"Eyebrow chuchu"    ,45.6,54.7
"Church 1"          ,45.6,58.1
"Barber Shop"       ,45.6,60.5
"Cinema 7"          ,43.8,61.7
"Cinema 6"          ,39.9,61.7
"Takoyaki"          ,37.1,61.4
"Hotdog on Stick"   ,34.3,61.4
"Potato Corner"     ,31.6,61.4
"Cinema 5"          ,28.8,61.7
"Cinema 4"          ,24.8,61.7
"Timezone"          ,21  ,58.4
"Ticket Booth"      ,20.9,42.2
"Base Kamp"         ,23.2,26.7
"Cinema 3"          ,25.1,25.9
"Cinema 2"          ,28  ,25.9
"Cinema 1"          ,39  ,25.3
"Muscle Beach"      ,31.1,25.1
"NYFD Premiere"     ,337 ,25
"Admin Office"      ,44.8,24.5
"Events Manila"     ,45.7,26.9
"Word for the World",45.7,30.4
"I-Tea"             ,34.9,47.2
"Telus 1"           ,58.6,49.5
"Telus 2"           ,58.6,34.8
"Restroom 1"        ,50.5,54.1
"Restroom 2"        ,50.2,23.5
